DeviceID,Tag,Lat,Long
1,Road 1,13.111463736526945,77.37716827145708
2,Road 1,13.111263473053892,77.37754654291417
3,Road 1,13.111063209580838,77.37792481437126
4,Road 1,13.110862946107783,77.37830308582835
5,Road 1,13.11066268263473,77.37868135728543
6,Road 1,13.110462419161676,77.37905962874251
7,Road 1,13.110262155688622,77.3794379001996
8,Road 1,13.110061892215569,77.37981617165669
9,Road 1,13.109861628742514,77.38019444311377
10,Road 1,13.10966136526946,77.38057271457086
11,Road 1,13.109461101796407,77.38095098602794
12,Road 1,13.109260838323353,77.38132925748504
13,Road 1,13.109060574850298,77.38170752894212
14,Road 1,13.108860311377244,77.3820858003992
15,Road 1,13.108660047904191,77.38246407185629
16,Road 1,13.108459784431137,77.38284234331337
17,Road 1,13.108259520958082,77.38322061477047
18,Road 1,13.10805925748503,77.38359888622755
19,Road 1,13.107858994011975,77.38397715768463
20,Road 1,13.10765873053892,77.38435542914172
21,Road 1,13.107458467065868,77.3847337005988
22,Road 1,13.107258203592814,77.38511197205588
23,Road 1,13.107057940119759,77.38549024351298
24,Road 1,13.106857676646706,77.38586851497006
25,Road 1,13.106657413173652,77.38624678642715
26,Road 1,13.106457149700597,77.38662505788423
27,Road 1,13.106256886227545,77.38700332934131
28,Road 1,13.10605662275449,77.3873816007984
29,Road 1,13.105856359281436,77.38775987225549
30,Road 1,13.105656095808383,77.38813814371258
31,Road 1,13.105455832335329,77.38851641516966
32,Road 1,13.105255568862274,77.38889468662674
33,Road 1,13.105055305389222,77.38927295808384
34,Road 1,13.104855041916167,77.38965122954092
35,Road 1,13.104654778443113,77.390029500998
36,Road 1,13.10445451497006,77.39040777245509
37,Road 1,13.104254251497006,77.39078604391217
38,Road 1,13.104053988023951,77.39116431536927
39,Road 1,13.103853724550898,77.39154258682635
40,Road 1,13.103653461077844,77.39192085828343
41,Road 1,13.10345319760479,77.39229912974052
42,Road 1,13.103252934131735,77.3926774011976
43,Road 1,13.103052670658682,77.3930556726547
44,Road 1,13.102852407185628,77.39343394411178
45,Road 1,13.102652143712573,77.39381221556886
46,Road 1,13.10245188023952,77.39419048702595
47,Road 1,13.102251616766466,77.39456875848303
48,Road 1,13.102051353293412,77.39494702994011
49,Road 1,13.101851089820359,77.39532530139721
50,Road 1,13.101650826347305,77.39570357285429
51,Road 1,13.10145056287425,77.39608184431138
52,Road 1,13.101250299401197,77.39646011576846
53,Road 1,13.101050035928143,77.39683838722554
54,Road 1,13.100849772455089,77.39721665868264
55,Road 1,13.100649508982036,77.39759493013972
56,Road 1,13.100449245508981,77.39797320159681
57,Road 1,13.100248982035927,77.39835147305389
58,Road 1,13.100048718562874,77.39872974451097
59,Road 1,13.09984845508982,77.39910801596807
60,Road 1,13.099648191616765,77.39948628742515
61,Road 1,13.099447928143713,77.39986455888223
62,Road 1,13.099247664670658,77.40024283033932
63,Road 1,13.099047401197604,77.4006211017964
64,Road 1,13.098847137724551,77.4009993732535
65,Road 1,13.098646874251497,77.40137764471058
66,Road 1,13.098446610778442,77.40175591616766
67,Road 1,13.09824634730539,77.40213418762475
68,Road 1,13.098046083832335,77.40251245908183
69,Road 1,13.09784582035928,77.40289073053893
70,Road 1,13.097645556886226,77.40326900199601
71,Road 1,13.097445293413173,77.40364727345309
72,Road 1,13.097245029940119,77.40402554491018
73,Road 1,13.097044766467064,77.40440381636726
74,Road 1,13.096844502994012,77.40478208782436
75,Road 1,13.096644239520957,77.40516035928144
76,Road 1,13.096443976047903,77.40553863073852
77,Road 1,13.09624371257485,77.40591690219561
78,Road 1,13.096043449101796,77.4062951736527
79,Road 1,13.095843185628741,77.40667344510977
80,Road 1,13.095642922155688,77.40705171656687
81,Road 1,13.095442658682634,77.40742998802395
82,Road 1,13.09524239520958,77.40780825948104
83,Road 1,13.095042131736527,77.40818653093812
